source_path,source_format,condition,lineage_id,counterbalance_arm,strategy,collapse_binary,collapse_binary_reported,collapse_binary_source,detection,first_detection_step,first_action_step,recall_count,seeded_first_final,seeded_second_final,arbitration_direction,fidelity,other_description,status,error_step,raw_events_available
..\runs_trial_n25\condition_a\scoring\lineage_001.md,scored_markdown,A,1,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,5,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_002.md,scored_markdown,A,2,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,6,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_003.md,scored_markdown,A,3,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_004.md,scored_markdown,A,4,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_005.md,scored_markdown,A,5,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_006.md,scored_markdown,A,6,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,1.0,1.0,3,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_007.md,scored_markdown,A,7,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_008.md,scored_markdown,A,8,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_009.md,scored_markdown,A,9,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_010.md,scored_markdown,A,10,A-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_011.md,scored_markdown,A,11,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_012.md,scored_markdown,A,12,A-first,clear-without-replacement,took_action,non_arbitration,derived_from_seed_states (reported=non_arbitration),yes,2.0,2.0,2,deleted,deleted,n/a,n/a,,complete,,False
..\runs_trial_n25\condition_a\scoring\lineage_013.md,scored_markdown,A,13,B-first,arbitration,took_action,arbitration,derived_from_seed_states (reported=arbitration),yes,7.0,7.0,6,edited,deleted,kept_first,no,,complete,,False
